schedule,category,product,charge_name,condition,amount,vat_note,source_file
Cards,Credit Cards,Diners Club,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Supplementary card free count,Credit Cards; Supplementary card free count,1st and 2nd card free,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Global / Mastercard World RFCD Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,Supplementary card free count,Debit Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Payroll Prepaid Card,Supplementary card free count,Prepaid Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,UnionPay / Mastercard / Visa Prepaid Card,Supplementary card free count,Prepaid Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Diners Club / FX / ACCA Prepaid Card,Supplementary card free count,Prepaid Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Mastercard Women Prepaid Card,Supplementary card free count,Prepaid Cards; Supplementary card free count,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Classic,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 1,500",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Gold,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 1,500",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 2,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 2,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 2,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,BDT 869,,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,"BDT 3,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Supplementary card issuance / annual / renewal fee,Credit Cards; Supplementary card,$ 12,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Supplementary card issuance / annual / renewal fee,Debit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,Supplementary card issuance / annual / renewal fee,Debit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,Supplementary card issuance / annual / renewal fee,Debit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,Supplementary card issuance / annual / renewal fee,Debit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Global / Mastercard World RFCD Debit,Supplementary card issuance / annual / renewal fee,Debit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,Supplementary card issuance / annual / renewal fee,Debit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,Supplementary card issuance / annual / renewal fee,Debit Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Payroll Prepaid Card,Supplementary card issuance / annual / renewal fee,Prepaid Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,UnionPay / Mastercard / Visa Prepaid Card,Supplementary card issuance / annual / renewal fee,Prepaid Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Diners Club / FX / ACCA Prepaid Card,Supplementary card issuance / annual / renewal fee,Prepaid Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Mastercard Women Prepaid Card,Supplementary card issuance / annual / renewal fee,Prepaid Cards; Supplementary card,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Classic,International SkyLounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
